phrase,phrasekey,is_acronym
sports 52 wear,s52w,1
take 10,t10,0
the art people,tap,0
the real effect london,trel,0
amaya decors,ad,0
awg all weather gear,aawg,0
easies by killer,ebk,0
lux cozi,lc,0
readiprint fashions,rf,0
rod take's rts,rr,0
swiss cross,sc,0
wear your mind,wym,0
avaasa set,as,0
label ritu kumar,lrk,0
lc waikiki,lw,0
put chi,pc,0
rue collection,rc,0
ruff kids,rk,0
alc creations,ac,0
alsace lorraine paris,alp,1
crown sapphire,cs,0
jaipur rugs,jr,0
nanda silk mills,nsm,1
richard parker by pantaloons,rpbp,0
shira 24,s24,1
skola toys,st,0
ucb kids,ucbk,1
comfort plus,cp,0
joules by radhika,jbr,0
nonas jewellery,nj,0
reebok classic,rc,0
tarini nirula,tn,0
anghan brothers,ab,0
avant-garde paris,p,0
david beckham,db,0
ethnic cotler,ec,0
ethnic frills,ef,0
free living,fl,0
style shoes,ss,0
aapno rajasthan,ar,0
macrwoman w-series,m,0
madhuram textiles,mt,0
mode by red tape,mbrt,0
soft buddies,sb,0
ted harbor,th,0
dc shoes,ds,0
feel feet,ff,0
happy socks,hs,0
joe hazel,jh,0
john noble,jn,0
silk feet,sf,0
christian siriano,cs,0
elle studio,es,0
jb just black,jjb,0
rosso brunello,rb,0
two dots,td,0
vermilion lifestyle,vl,0
crimsoune club women,ccw,0
design by rao,dbr,0
forever young,fy,0
li'l tomatoes,t,0
lino perros,lp,0
signature sole,ss,0
baani creations,bc,0
evah london,el,0
gentlemen's outfitters usa,ou,0
gulmohar jaipur,gj,0
john players jeans,jpj,0
lounge dreams,ld,0
one friday,of,0
american eagle outfitters,aeo,0
boutique living,bl,0
dreamz by pantaloons,dbp,0
indian women,iw,0
simba-disney plush,p,0
twist 99,t99,1
angel eye,ae,0
get glamr,gg,0
indian dor,id,0
platinum studio,ps,0
sheen decor,sd,0
that gypsy,tg,0
toss winner,tw,0
eka lifestyle,el,0
elle kids,ek,0
frederique constant,fc,0
lavanya the label,ltl,0
oyelook designer,od,0
sabala handicrafts,sh,0
silai bunai,sb,0
slip in 2,si2,0
