row_num,word,rightword,,w_count,r_count,old_r_count,soundex,dropThese?,RtoR,Remarks,mapping_type
1956,smart phone,smart phones,#N/A,,,,,,FALSE,,W2R
1957,smart phones,smart phones,#N/A,,,,,,TRUE,,W2R
1958,smart watc,smartwatch,#N/A,,113,,,,FALSE,,W2R
1959,smart watch,smartwatch,#N/A,,13589,,,,FALSE,,W2R
1960,smart watches,smartwatch,#N/A,,13589,,,,FALSE,,W2R
1961,smartphone,smart phones,#N/A,32,,,,,FALSE,,W2R
1962,smartphones,smart phones,#N/A,1,,,,,FALSE,,W2R
1963,smartwatches,smartwatch,smartwatches,,113,,,,FALSE,,W2R
1964,smartwatches,smartwatch,#N/A,,13589,,,1,FALSE,,W2R
1965,sneakerhood,sneakerhood,#N/A,,,14807,S526,,TRUE,,R2R
1966,snearkers,sneakers,#N/A,,22495,15989,S562,,FALSE,,W2R
1967,sneckers,sneakers,#N/A,,22495,1280,S526,,FALSE,,W2R
1968,snekares,sneakers,#N/A,,22495,20072,S526,,FALSE,,W2R
1969,soa,soap,#N/A,,,,,1,FALSE,,W2R
1970,socks,socks,#N/A,12019,,,,,FALSE,,W2R
1971,solapur,solapur,#N/A,,,12195,S416,,TRUE,,R2R
1972,soleplay,roleplay,#N/A,,2,12537,S414,,FALSE,,W2R
1973,sooties,boots,#N/A,,6237,,,1,FALSE,,W2R
1974,souf,soof,#N/A,,,,,1,FALSE,,W2R
1975,soyetar,sweaters,#N/A,,43282,14601,S360,,FALSE,,W2R
1976,soyeter,sweater,#N/A,,4365,22136,S360,,FALSE,,W2R
1977,special,special occasion,#N/A,2494,,,,,FALSE,,W2R
1978,specialwear,special occasion,#N/A,,,,,,FALSE,,W2R
1979,spectacles,spectacles,#N/A,522,522,13649,S123,,TRUE,,R2R
1980,speters,speters,#N/A,,,21431,S136,,TRUE,,R2R
1981,sport sandal,sports sandals,#N/A,,,,,,FALSE,,W2R
1982,sport sandals,sports sandals,#N/A,,,,,,FALSE,,W2R
1983,sports shoe,sports shoes,#N/A,,,,,,FALSE,,W2R
1984,sports shoes,sports shoes,#N/A,,,,,,TRUE,,R2R
1985,sportshoe,sports shoes,#N/A,,,16606,S163,,FALSE,,W2R
