p1_dc,format,city,state,segment_code,consensus_qty,brick_description,forecast_qty,brand,segment,division,brick_code,class_code,division_code,vertical,store_no,batchno,status,article_id,month_year,pin_code,region,wom,family_code,class,sd,article_description,kvi,npi,sold_qty
R696,DIGITAL DC,Bhiwandi,Maharashtra,FI,0.0,CANNISTER VACUM CLNR,1.0072021484375,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,491959416,11-2024,421302,West,1,FI02,FLOOR CARE SOLUTIONS,EUREKA VC STELLAR,EUREKA VACUUM CLEANER STELLAR ORANGE,NA,NA,0.0
SD78,DIGITAL DC,Ernakulam,Kerala,FI,0.0,CANNISTER VACUM CLNR,0.6590140461921692,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,491959416,11-2024,683561,South,1,FI02,FLOOR CARE SOLUTIONS,EUREKA VC STELLAR,EUREKA VACUUM CLEANER STELLAR ORANGE,NA,NA,0.0
R396,DIGITAL DC,Bangalore,Karnataka,FI,0.0,CANNISTER VACUM CLNR,1.3180280923843384,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,491959416,11-2024,562123,South,1,FI02,FLOOR CARE SOLUTIONS,EUREKA VC STELLAR,EUREKA VACUUM CLEANER STELLAR ORANGE,NA,NA,3.0
SLTY,DIGITAL DC,Ahmedabad,Gujarat,FI,0.0,CANNISTER VACUM CLNR,0.0,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,491959416,11-2024,382240,West,1,FI02,FLOOR CARE SOLUTIONS,EUREKA VC STELLAR,EUREKA VACUUM CLEANER STELLAR ORANGE,NA,NA,1.0
S0TC,DIGITAL DC,Palladam,Tamil Nadu,FI,0.0,CANNISTER VACUM CLNR,1.8118635416030884,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,491959416,11-2024,641402,South,1,FI02,FLOOR CARE SOLUTIONS,EUREKA VC STELLAR,EUREKA VACUUM CLEANER STELLAR ORANGE,NA,NA,1.0
S573,DIGITAL DC,Raipur,Chattisgarh,FI,0.0,CANNISTER VACUM CLNR,0.6590140461921692,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,491959416,11-2024,493111,West,1,FI02,FLOOR CARE SOLUTIONS,EUREKA VC STELLAR,EUREKA VACUUM CLEANER STELLAR ORANGE,NA,NA,0.0
SE40,DIGITAL DC,Hyderabad,Telangana,FI,0.0,CANNISTER VACUM CLNR,1.0072021484375,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,491959416,11-2024,501401,South,1,FI02,FLOOR CARE SOLUTIONS,EUREKA VC STELLAR,EUREKA VACUUM CLEANER STELLAR ORANGE,NA,NA,1.0
SJ93,DIGITAL DC,Farrukhnagar,Haryana,FI,0.0,CANNISTER VACUM CLNR,0.0,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,491959416,11-2024,122506,North,1,FI02,FLOOR CARE SOLUTIONS,EUREKA VC STELLAR,EUREKA VACUUM CLEANER STELLAR ORANGE,NA,NA,1.0
SJ99,DIGITAL DC,Sriperumbudur,Tamil Nadu,FI,0.0,CANNISTER VACUM CLNR,1.3180280923843384,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,491959416,11-2024,602105,South,1,FI02,FLOOR CARE SOLUTIONS,EUREKA VC STELLAR,EUREKA VACUUM CLEANER STELLAR ORANGE,NA,NA,0.0
SLLN,DIGITAL DC,Siliguri,West Bengal,FI,0.0,CANNISTER VACUM CLNR,0.0,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,492391697,11-2024,735135,East,1,FI02,FLOOR CARE SOLUTIONS,EUREKA Wet&Dry Zeal,EUREKA VACUUM CLEANER WET & DRY ZEAL,NA,NA,1.0
SJ93,DIGITAL DC,Farrukhnagar,Haryana,FI,0.0,CANNISTER VACUM CLNR,0.6590140461921692,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,492391697,11-2024,122506,North,1,FI02,FLOOR CARE SOLUTIONS,EUREKA Wet&Dry Zeal,EUREKA VACUUM CLEANER WET & DRY ZEAL,NA,NA,0.0
S597,DIGITAL DC,Guwahati,Assam,FI,0.0,CANNISTER VACUM CLNR,0.6590140461921692,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,492391697,11-2024,781031,East,1,FI02,FLOOR CARE SOLUTIONS,EUREKA Wet&Dry Zeal,EUREKA VACUUM CLEANER WET & DRY ZEAL,NA,NA,0.0
S0CV,DIGITAL DC,Rajpura,Punjab,FI,0.0,CANNISTER VACUM CLNR,0.0,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,492391697,11-2024,140401,North,1,FI02,FLOOR CARE SOLUTIONS,EUREKA Wet&Dry Zeal,EUREKA VACUUM CLEANER WET & DRY ZEAL,NA,NA,2.0
SE40,DIGITAL DC,Hyderabad,Telangana,FI,0.0,CANNISTER VACUM CLNR,1.3180280923843384,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,492391697,11-2024,501401,South,1,FI02,FLOOR CARE SOLUTIONS,EUREKA Wet&Dry Zeal,EUREKA VACUUM CLEANER WET & DRY ZEAL,NA,NA,0.0
S0GZ,DIGITAL DC,Sawer,Madhya Pradesh,FI,0.0,CANNISTER VACUM CLNR,0.0,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,492391697,11-2024,453771,West,1,FI02,FLOOR CARE SOLUTIONS,EUREKA Wet&Dry Zeal,EUREKA VACUUM CLEANER WET & DRY ZEAL,NA,NA,1.0
SJ99,DIGITAL DC,Sriperumbudur,Tamil Nadu,FI,0.0,CANNISTER VACUM CLNR,0.6590140461921692,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,492391697,11-2024,602105,South,1,FI02,FLOOR CARE SOLUTIONS,EUREKA Wet&Dry Zeal,EUREKA VACUUM CLEANER WET & DRY ZEAL,NA,NA,0.0
SLTY,DIGITAL DC,Ahmedabad,Gujarat,FI,0.0,CANNISTER VACUM CLNR,0.0,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,492391697,11-2024,382240,West,1,FI02,FLOOR CARE SOLUTIONS,EUREKA Wet&Dry Zeal,EUREKA VACUUM CLEANER WET & DRY ZEAL,NA,NA,3.0
R396,DIGITAL DC,Bangalore,Karnataka,FI,0.0,CANNISTER VACUM CLNR,0.8433489203453064,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,492391697,11-2024,562123,South,1,FI02,FLOOR CARE SOLUTIONS,EUREKA Wet&Dry Zeal,EUREKA VACUUM CLEANER WET & DRY ZEAL,NA,NA,0.0
R696,DIGITAL DC,Bhiwandi,Maharashtra,FI,0.0,CANNISTER VACUM CLNR,1.3180280923843384,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,492391697,11-2024,421302,West,1,FI02,FLOOR CARE SOLUTIONS,EUREKA Wet&Dry Zeal,EUREKA VACUUM CLEANER WET & DRY ZEAL,NA,NA,-1.0
R810,DIGITAL DC,Jaipur,Rajasthan,FI,0.0,CANNISTER VACUM CLNR,0.0,Eureka Forbes,SMALL APPLIANCES,CDIT,FI0203002,FI0203,902,Electronics,NA,20241101,active,492391697,11-2024,302022,North,1,FI02,FLOOR CARE SOLUTIONS,EUREKA Wet&Dry Zeal,EUREKA VACUUM CLEANER WET & DRY ZEAL,NA,NA,1.0
