p1_dc,format,city,state,segment_code,consensus_qty,brick_description,forecast_qty,brand,segment,division,brick_code,class_code,division_code,vertical,store_no,batchno,status,article_id,month_year,pin_code,region,wom,family_code,class,sd,article_description,kvi,npi,sold_qty
SACU,digitaldc,Nagpur,Maharashtra,FH,24.0,LED TV 40 TO 54,22.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,441122,West,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,18.0
R394,digitaldc,Patna,Bihar,FH,34.0,LED TV 40 TO 54,26.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,800007,East,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,36.0
SLLN,digitaldc,Siliguri,West Bengal,FH,31.0,LED TV 40 TO 54,35.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,735135,East,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,35.0
R201,digitaldc,Cuttack,Orissa,FH,62.0,LED TV 40 TO 54,57.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,754002,East,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,52.0
R396,digitaldc,Bangalore,Karnataka,FH,136.0,LED TV 40 TO 54,236.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,562123,South,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,357.0
V014,digitaldc,Pune,Maharashtra,FH,59.0,LED TV 40 TO 54,101.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,413802,West,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,154.0
SLKO,digitaldc,Howrah,West Bengal,FH,167.0,LED TV 40 TO 54,147.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,711310,East,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,147.0
S0CV,digitaldc,Rajpura,Punjab,FH,14.0,LED TV 40 TO 54,15.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494410724,11-2024,140401,North,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY K43S20,SONY 43 UHD BRAVIA 2 SMART LED TV K43S20,non kvi,NA,16.0
S0CV,digitaldc,Rajpura,Punjab,FH,0.0,LED TV 40 TO 54,0.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,oop,492912660,11-2024,140401,North,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY 50X75K,SONY 50 UHD SMART LED TV 50X75K,non kvi,NA,1.0
SLOR,digitaldc,Dehradun,Uttarakhand,FH,1.0,LED TV 40 TO 54,0.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,oop,492912660,11-2024,248001,North,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY 50X75K,SONY 50 UHD SMART LED TV 50X75K,non kvi,NA,0.0
SD78,digitaldc,Ernakulam,Kerala,FH,1.0,LED TV 40 TO 54,0.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,oop,492912660,11-2024,683561,South,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY 50X75K,SONY 50 UHD SMART LED TV 50X75K,non kvi,NA,0.0
SJ93,digitaldc,Farrukhnagar,Haryana,FH,1.0,LED TV 40 TO 54,1.0,Sony,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,oop,492912660,11-2024,122506,North,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,SONY 50X75K,SONY 50 UHD SMART LED TV 50X75K,non kvi,NA,0.0
S0UG,digitaldc,Gannavaram,Andhra Pradesh,FH,0.0,LED TV 40 TO 54,0.0,Foxsky,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494443190,11-2024,521107,South,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,FOXSKY 43FS WEBOS,FOXSKY 43 4K UHD 43FS WEBOS,NA,NA,1.0
V014,digitaldc,Pune,Maharashtra,FH,0.0,LED TV 40 TO 54,0.0,Foxsky,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494443190,11-2024,413802,West,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,FOXSKY 43FS WEBOS,FOXSKY 43 4K UHD 43FS WEBOS,NA,NA,4.0
SC28,digitaldc,Lucknow,Uttar Pradesh,FH,0.0,LED TV 40 TO 54,0.0,Foxsky,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494443190,11-2024,226401,North 1,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,FOXSKY 43FS WEBOS,FOXSKY 43 4K UHD 43FS WEBOS,NA,NA,4.0
SJ93,digitaldc,Farrukhnagar,Haryana,FH,0.0,LED TV 40 TO 54,1.0,Foxsky,ENT,CDIT,FH0102001,FH0102,902,Electronics,NA,20241101,active,494443190,11-2024,122506,North,1,FH01,MEDIUM SCREEN 40 TO 54 INCH,FOXSKY 43FS WEBOS,FOXSKY 43 4K UHD 43FS WEBOS,NA,NA,8.0
